Problem;Rationale;annotated_formula;linear_formula;category;id_question;difficulty;upload_timestamp;solved_timestamp;response_time
mathew is planning a vacation trip to london next year from today for 5 days , he has calculated he would need about $ 3000 for expenses , including a round - trip plane ticket from l . a to london . he nets around $ 1500 monthly in gross income , after all bills are paid , he is left with about $ 350 each month free for whatever he desires . how much money would mathew need to evenly save from his $ 350 to have $ 3000 in his bank within 12 months ?;answer is ( d ) . if mathew is left with about $ 350 after all expenses each month , he would need to divide the total expense budget to london ( $ 3000 ) by 12 months to determine how much he would need to put away every single month to hit his target . $ 3000 / 12 = $ 250 .;divide(3000, 12);divide(n1,n6);general;Q141;Hard;2023-02-24 14:23:00;2023-02-24 15:18:00;55,64
3 pounds of 05 grass seed contain 1 percent herbicide . a different type of grass seed , 20 , which contains 20 percent herbicide , will be mixed with 3 pounds of 05 grass seed . how much grass seed of type 20 should be added to the 3 pounds of 05 grass seed so that the mixture contains 15 percent herbicide ?;05 grass seed contains 5 % herbicide and its amount is 3 pound 20 grass seed contains 20 % herbicide and its amount is x when these two types of grass seeds are mixed , their average becomes 15 % thus we have 3 ( 1 ) + x ( 20 ) / ( x + 3 ) = 15 3 + 20 x = 15 x + 45 5 x = 42 or x = 8.4 d;divide(subtract(multiply(15, 3), 3), subtract(20, 15));multiply(n0,n10)|subtract(n3,n10)|subtract(#0,n0)|divide(#2,#1);general;Q093;Hard;2023-02-24 17:06:00;2023-02-24 17:47:00;41,42
if f ( f ( n ) ) + f ( n ) = 2 n + 3 and f ( 0 ) = 1 , what is the value of f ( 2012 ) ?;"""put n = 0 then f ( f ( 0 ) ) + f ( 0 ) = 2 ( 0 ) + 3 ⇒ ⇒ f ( 1 ) + 1 = 3 ⇒ ⇒ f ( 1 ) = 2 put n = 1 f ( f ( 1 ) ) + f ( 1 ) = 2 ( 1 ) + 3 ⇒ ⇒ f ( 2 ) + 2 = 5 ⇒ ⇒ f ( 2 ) = 3 put n = 2 f ( f ( 2 ) ) + f ( 2 ) = 2 ( 2 ) + 3 ⇒ ⇒ f ( 3 ) + 3 = 7 ⇒ ⇒ f ( 3 ) = 4 . . . . . . f ( 2012 ) = 2013 answer : c""";add(1, 2012);add(n3,n4)|;general;Q157;Medium;2023-02-26 22:48:00;2023-02-26 23:25:00;38
a certain barrel , which is a right circular cylinder , is filled to capacity with 60 gallons of oil . the first barrel is poured into a second barrel , also a right circular cylinder , which is empty . the second barrel is twice as tall as the first barrel and has twice the diameter of the first barrel . if all of the oil in the first barrel is poured into the second barrel , how much empty capacity , in gallons , is left in the second barrel ?;radius of first cylinder = r , diameter = 2 r , height = h radius of second cylinder = 2 r , diamter = 2 d and height = 2 h volume of first cylinder = pie ( r ^ 2 ) * h = 60 volume of second cylinder = pie ( 2 r ^ 2 ) 2 h put the value of pie ( r ^ 2 ) * h = 60 in the second cylinder , volume = pie ( r ^ 2 ) * 4 * 2 = 60 * 8 = 480 gallons empty capacity = 420 gallons answer d;subtract(multiply(60, power(const_2, const_3)), 60);power(const_2,const_3)|multiply(n0,#0)|subtract(#1,n0);geometry;Q480;Medium;2023-02-27 02:21:00;2023-02-27 02:59:00;38,74
concentrated apples juice comes inside a cylinder tube with a radius of 2.5 inches and a height of 15 inches . the tubes are packed into wooden boxes , each with dimensions of 11 inches by 10 inches by 31 inches . how many tubes of concentrated apples juice , at the most , can fit into 3 wooden boxes ?;concentrated apples juice comes inside a cylinder tube since height of a tube is 15 inches , the tubes can fit only in one way now , diameter of each tube = 5 inches therefore , 4 * 2 can be put in each wooden box in 3 boxes 3 * 4 * 2 can be accommodated = 24 = a;subtract(divide(multiply(multiply(multiply(11, 10), 31), 3), multiply(multiply(divide(multiply(add(const_10, const_1), const_2), add(const_3, const_4)), power(2.5, const_2)), 15)), 10);add(const_1,const_10)|add(const_3,const_4)|multiply(n2,n3)|power(n0,const_2)|multiply(n4,#2)|multiply(#0,const_2)|divide(#5,#1)|multiply(n5,#4)|multiply(#6,#3)|multiply(n1,#8)|divide(#7,#9)|subtract(#10,n3);gain;Q264;Medium;2023-02-27 22:25:00;2023-02-27 22:36:00;11,18
if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land heads up exactly twice in 2 consecutive flips ?;"""total number of ways in which h or t can appear in 3 tosses of coin is = 2 * 2 = 4 ways for 2 h hh , thus probability is = p ( hh ) = 1 / 4 = . 25 answer : c""";multiply(power(divide(const_1, const_2), 2), 2);divide(const_1,const_2)|power(#0,n0)|multiply(n0,#1)|;general;Q329;Medium;2023-02-28 02:27:00;2023-02-28 02:41:00;14,29
in a 100 member association consisting of men and women , exactly 10 % of men and exactly 20 % women are homeowners . what is the maximum number of members who are homeowners ?;"""solution simple out of 100 10 % are male i . e 10 and 20 % are female i . e 20 , so total homeowner is 30 . now min number homeowner is 10 and max is 30 so question ask us to find maximum and 29 has maximum value among all option . so ans is 29 . ans : a""";add(multiply(multiply(divide(20, const_100), 10), multiply(divide(20, const_100), 10)), divide(subtract(100, 10), 10));divide(n2,const_100)|subtract(n0,n1)|divide(#1,n1)|multiply(n1,#0)|multiply(#3,#3)|add(#2,#4)|;gain;Q163;Medium;2023-02-28 08:44:00;2023-02-28 09:12:00;28,96
in the coordinate plane , a circle centered on point ( - 3 , 4 ) passes through point ( 1 , 1 ) . what is the area of the circle ?;"""r ^ 2 = ( - 3 - 1 ) ^ 2 + ( 4 - 1 ) ^ 2 = 16 + 9 = 25 area of circle = π r ^ 2 = 25 π answer : c""";circle_area(sqrt(add(power(subtract(3, 1), const_2), power(add(1, 4), const_2))));add(n1,n2)|subtract(n0,n2)|power(#1,const_2)|power(#0,const_2)|add(#2,#3)|sqrt(#4)|circle_area(#5)|;geometry;Q235;Easy;2023-02-28 15:40:00;2023-02-28 16:03:00;23,06
1 , 3,5 , 7,9 , . . 50 find term of sequnce;"""this is an arithmetic progression , and we can write down a = 1 a = 1 , d = 2 d = 2 , n = 50 n = 50 . we now use the formula , so that sn = 12 n ( 2 a + ( n − 1 ) l ) sn = 12 n ( 2 a + ( n − 1 ) l ) s 50 = 12 × 50 × ( 2 × 1 + ( 50 − 1 ) × 2 ) s 50 = 12 × 50 × ( 2 × 1 + ( 50 − 1 ) × 2 ) = 25 × ( 2 + 49 × 2 ) = 25 × ( 2 + 49 × 2 ) = 25 × ( 2 + 98 ) = 25 × ( 2 + 98 ) = 2500 = 2500 . e""";subtract(negate(50), multiply(subtract(3,5, 7,9), divide(subtract(3,5, 7,9), subtract(1, 3,5))));negate(n3)|subtract(n1,n2)|subtract(n0,n1)|divide(#1,#2)|multiply(#3,#1)|subtract(#0,#4)|;general;Q530;Hard;2023-03-01 22:18:00;2023-03-01 23:12:00;54,58
if the arithmetic mean of seventy 5 numbers is calculated , it is 35 . if each number is increased by 5 , then mean of new number is ?;a . m . of 75 numbers = 35 sum of 75 numbers = 75 * 35 = 2625 total increase = 75 * 5 = 375 increased sum = 2625 + 375 = 3000 increased average = 3000 / 75 = 40 . answer : b;add(35, 5);add(n0,n1);general;Q664;Easy;2023-03-02 09:49:00;2023-03-02 10:06:00;17,92
a , b , k start from the same place and travel in the same direction at speeds of 30 km / hr , 40 km / hr , 60 km / hr respectively . b starts 6 hours after a . if b and k overtake a at the same instant , how many hours after a did k start ?;the table you made does n ' t make sense to me . all three meet at the same point means the distance they cover is the same . we know their rates are 30 , 40 and 60 . say the time taken by b is t hrs . then a takes 6 + t hrs . and we need to find the time taken by k . distance covered by a = distance covered by b 30 * ( 6 + t ) = 40 * t t = 18 hrs distance covered by b = distance covered by k 40 * t = 60 * time taken by k time taken by k = 40 * 18 / 60 = 12 hrs time taken by a = 6 + t = 6 + 18 = 24 hrs time taken by k = 12 hrs so k starts 24 - 12 = 12 hrs after a . ( answer d );divide(multiply(30, add(6, divide(multiply(30, 6), subtract(40, 30)))), 60);multiply(n0,n3)|subtract(n1,n0)|divide(#0,#1)|add(n3,#2)|multiply(n0,#3)|divide(#4,n2);physics;Q150;Easy;2023-03-02 10:39:00;2023-03-02 10:58:00;19,04
in an exam 80 % of the boys and 40 % of the girls passed . the number of girls who passed is 120 , which is 2 / 3 rd of the number of boys who failed . what is the total number of students who appeared for the exam ?;let the number of boys = x , number of girls = y 40 y / 100 = 120 y = 300 120 = 2 / 3 * 20 x / 100 = 2 x / 15 x = 900 total = x + y = 300 + 900 = 1200 answer : a;add(divide(120, multiply(divide(subtract(const_100, 80), const_100), divide(2, 3))), divide(120, divide(40, const_100)));divide(n3,n4)|divide(n1,const_100)|subtract(const_100,n0)|divide(#2,const_100)|divide(n2,#1)|multiply(#3,#0)|divide(n2,#5)|add(#6,#4);general;Q080;Easy;2023-03-04 07:48:00;2023-03-04 08:09:00;21,59
the marked price of a book is 20 % more than the cost price . after the book is sold , the vendor realizes that he had wrongly raised the cost price by a margin of 25 % . if the marked price of the book is rs . 30 , what is the original cost price of the book ?;let the incorrect cost price be c 1 and let the original cost price be c 2 . marked price of book is rs . 30 . it is 20 % more than c 1 . therefore , ( 120 / 100 ) x c 1 = 30 or c 1 = 25 . c 1 is more than c 2 margin of 25 % . or c 1 = ( 125 / 100 ) c 2 therefore , c 2 = ( 100 / 125 ) x 25 = rs 20 answer : d;divide(divide(30, add(const_1, divide(20, const_100))), add(const_1, divide(25, const_100)));divide(n0,const_100)|divide(n1,const_100)|add(#0,const_1)|add(#1,const_1)|divide(n2,#2)|divide(#4,#3);gain;Q075;Medium;2023-03-04 10:21:00;2023-03-04 10:52:00;31,94
if annual decrease in the population of a town is 5 % and the present number of people is 40000 what will the population be in 2 years ?;population in 2 years = 40000 ( 1 - 5 / 100 ) ^ 2 = 40000 * 19 * 19 / 20 * 20 = 36100 answer is c;multiply(power(divide(subtract(const_100, 5), const_100), 2), 40000);subtract(const_100,n0)|divide(#0,const_100)|power(#1,n2)|multiply(n1,#2);gain;Q551;Medium;2023-03-06 12:20:00;2023-03-06 12:57:00;37,15
find the missing figures : ? % of 25 = 20125;"""let x % of 25 = 2.125 . then , ( x / 100 ) * 25 = 2.125 x = ( 2.125 * 4 ) = 8.5 . answer is e .""";divide(20125, divide(25, const_100));divide(n0,const_100)|divide(n1,#0)|;gain;Q191;Easy;2023-03-06 16:02:00;2023-03-06 16:17:00;15,62
two trains leave the train station at the same time . one train , on the blue line , heads east - while the other , on the red line , heads west . if the train on the blue line averages 40 km / hr and the other train averages 40 km / hr - how long will it take for the trains to be 100 km apart ?;each train is averaging 40 km / hour in an opposite direction . after 1 hour , they will be 80 km apart , and after 1.25 hours , they will be 100 km apart . ( 80 * 1.25 = 100 ) answer is d;divide(divide(100, const_2), 40);divide(n2,const_2)|divide(#0,n0);general;Q501;Medium;2023-03-07 08:20:00;2023-03-07 08:48:00;28,61
what is the greatest possible length which can be used to measure exactly the lengths 10 m 50 cm , 14 m 55 cm and 50 cm ?;"""required length = hcf of 1050 cm , 1455 cm , 50 cm = 5 cm answer is e""";multiply(55, const_4);multiply(n3,const_4)|;physics;Q513;Hard;2023-03-08 15:06:00;2023-03-08 15:55:00;49,9
at scratch and dents rent - a - car , it costs $ 34.95 a day plus $ 0.23 per mile to rent a car . at rent - a - lemon , the charge is $ 25.00 a day plus $ 1.31 per mile . if you need to rent a car for 3 days , how many miles ( to nearest tenth ) must you drive for a car from both agencies to cost the same amount ?;for sad : saddaily = $ 34.95 / day sadmile = $ 0.23 / mile for ral : raldaily = $ 25.00 / day ralmile = $ 1.31 / mile we want the raltotal = sadtotal , so we get ( raldaily * days ) + ( ralmile * miles ) = ( saddaily * days ) + ( sadmile * miles ) = > miles = ( ( saddaily * days ) - ( raldaily * days ) ) / ( ralmiles - sadmiles ) = ( ( saddaily - raldaily ) * days ) / ( ralmiles - sadmiles ) miles = ( ( $ 34.95 * 3 ) - ( $ 25.00 * 3 ) ) / ( $ 1.31 - $ 0.23 ) = 27.6 miles c . 27.6 miles;divide(subtract(multiply(34.95, 3), multiply(25, 3)), subtract(1.31, 0.23));multiply(n0,n4)|multiply(n2,n4)|subtract(n3,n1)|subtract(#0,#1)|divide(#3,#2);general;Q098;Medium;2023-03-08 18:32:00;2023-03-08 18:58:00;26,78
average of 15 results is 43 . if the average of first 7 results is 41 and average of last 7 results is 45 then find the eighth result ?;option ' c ';subtract(multiply(15, 43), add(multiply(7, 41), multiply(7, 45)));multiply(n0,n1)|multiply(n2,n3)|multiply(n2,n5)|add(#1,#2)|subtract(#0,#3);general;Q479;Hard;2023-03-08 21:43:00;2023-03-08 22:20:00;37,86
a sprinter starts running on a circular path of radius r metres . her average speed ( in metres / minute ) is π r during the first 30 seconds , π r / 2 during next one minute , π r / 4 during next 2 minutes , π r / 8 during next 4 minutes , and so on . what is the ratio of the time taken for the nth round to that for the previous round ?;"explanation : there is more than 1 way to approach the solution ; however , i will detail the easiest way to go about it here . we want to find the ratio of time taken for nth round : time taken for ( n - 1 ) th round it will be same as finding the ratio of time taken for 2 nd round : time taken for 1 st round . 1 round = circumference of the circle = 2 π r 1 st round : speed = π r for 30 seconds . so , total distance travelled = π r / 2 . speed = π r / 2 for 1 minute . so , total distance travelled = π r / 2 . speed = π r / 4 for 2 minutes . so , total distance travelled = π r / 2 . speed = π r / 8 for 4 minutes . so , total distance travelled = π r / 2 . so , for a distance of 2 π r , time taken is 7.5 minutes . 2 nd round : speed = π r / 16 for 8 minutes . so , total distance travelled = π r / 2 . speed = π r / 32 for 16 minutes . so , total distance travelled = π r / 2 . speed = π r / 64 for 32 minutes . so , total distance travelled = π r / 2 . speed = π r / 128 for 64 minutes . so , total distance travelled = π r / 2 . so , for a distance of 2 π r , time taken is 120 minutes . ratio is 120 : 7.5 = 16 : 1 . answer : c";power(2, 4);power(n1,n2);physics;Q468;Hard;2023-03-09 05:41:00;2023-03-09 06:42:00;61,82
the weight of a hollow sphere is directly dependent on its surface area . the surface area of a sphere is 4 π · r ^ 2 , where r is the radius of the sphere . if a hollow sphere of radius 0.15 cm made of a certain metal weighs 8 grams , a hollow sphere of radius 0.3 cm made of the same metal would weigh how many grams t ?;"""weight directly proportional to 4 pi r ^ 2 now , 4 pi is constant , so , weight is directly proportional to r ^ 2 . when radius = 0.15 , weight = 8 , so ( 0.15 ) ^ 2 proportional to 8 ; ( 0.15 ) ^ 2 * 4 proportional to 8 * 4 , solving further ( 0.15 ) ^ 2 * 2 ^ 2 = ( 0.15 * 2 ) ^ 2 = 0.3 ^ 2 ; so answer = 32 ( b )""";multiply(8, 4);multiply(n0,n3)|;geometry;Q670;Easy;2023-03-10 04:19:00;2023-03-10 04:27:00;8,35
an enterprising businessman earns an income of re 5 on the first day of his business . on every subsequent day , he earns an income which is just thrice of that made on the previous day . on the 10 th day of business , he earns an income of :;2 nd day he earns = 3 ( 2 – 5 ) 3 rd day he earns = 3 ( 3 – 5 ) on 20 th day he earns 3 ( 20 - 5 ) = 45 rupees answer : d;subtract(multiply(5, 10), 5);multiply(n0,n1)|subtract(#0,n0);physics;Q572;Hard;2023-03-10 11:00:00;2023-03-10 11:20:00;20,35
two goods train each 500 m long , are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively find the time taken by the slower train to pass the driver of the faster one .;solution relative speed = ( 45 + 30 ) km / hr = ( 75 x 5 / 18 ) m / sec = ( 125 / 6 ) m / sec total distance covered = ( 500 + 500 ) m = 1000 m required time = ( 1000 x 6 / 125 ) sec = 48 sec answer c;multiply(divide(500, divide(multiply(const_1000, add(45, 30)), const_3600)), const_2);add(n1,n2)|multiply(#0,const_1000)|divide(#1,const_3600)|divide(n0,#2)|multiply(#3,const_2);physics;Q046;Medium;2023-03-10 19:10:00;2023-03-10 19:33:00;23,32
if x / 5 + 9 / x = 14 / 5 , what are the values of 3 x - 7 ?;i got the same thing b is the answer 8 or 20;add(multiply(subtract(add(subtract(9, 5), sqrt(subtract(power(subtract(9, 5), 5), multiply(5, multiply(9, 5))))), 3), const_10), subtract(subtract(subtract(9, 5), sqrt(subtract(power(subtract(9, 5), 5), multiply(5, multiply(9, 5))))), 3));multiply(n0,n1)|subtract(n1,n0)|multiply(n0,#0)|power(#1,n3)|subtract(#3,#2)|sqrt(#4)|add(#5,#1)|subtract(#1,#5)|subtract(#6,n4)|subtract(#7,n4)|multiply(#8,const_10)|add(#10,#9)|;general;Q673;Easy;2023-03-11 03:38:00;2023-03-11 03:52:00;14,36
a closed cylindrical tank contains 36 pie cubic feet of water and its filled to half its capacity . when the tank is placed upright on its circular base on level ground , the height of water in the tank is 4 feet . when the tank is placed on its side on level ground , what is the height , in feet , of the surface of the water above the ground ?;36 pie cubic feet of water and its filled to half tank ' s capacity . . . volume of tank = 72 pie cubic feet height of tank = 4 * 2 = 8 feet ( since tank is placed upright on its circular base on level ground , the height of water in the tank is 4 feet . ) 72 pie = pie * r 2 * 8 r 2 = 9 r = 3 feet answer : d;sqrt(divide(divide(multiply(36, const_pi), 4), const_pi));multiply(n0,const_pi)|divide(#0,n1)|divide(#1,const_pi)|sqrt(#2);geometry;Q473;Easy;2023-03-11 08:38:00;2023-03-11 08:57:00;19,13
the ratio of two speeds of two trains is 3 to 4 . if each of the trains slows its speed 5 km / hr , what will be the ratio of these two train speeds ?;3 / 4 = 3 x / 4 x we need to find out ( 3 x + 5 ) / ( 4 x + 5 ) off course we can not solve this to arrive at any rational number hence e .;divide(3, 4);divide(n0,n1);other;Q438;Hard;2023-03-12 23:48:00;2023-03-13 00:30:00;42,09
a box contain the number of balls which is as much times greater than 15 as much times lesser than 240 . the no . of ball is ?;"""answer let the number be x . x / 15 = 240 / x x ^ 2 = 240 * 15 = 3600 x = √ 3600 = 60 correct option : c""";divide(add(240, 15), const_2);add(n0,n1)|divide(#0,const_2)|;general;Q291;Easy;2023-03-13 10:12:00;2023-03-13 10:21:00;9,55
5 years ago , the average age of a and b was 15 years . average age of a , b and c today is 20 years . how old will c be after 14 years ?;explanation : ( a + b ) , five years ago = ( 15 * 2 ) = 30 years . ( a + b ) , now = ( 30 + 5 * 2 ) years = 40 years . ( a + b + c ) , now = ( 20 x 3 ) years = 60 years . c , now = ( 60 - 40 ) years = 20 years . c , after 14 years = ( 20 + 14 ) years = 34 years . answer : b;add(subtract(multiply(20, const_3), add(add(multiply(15, const_2), 5), 5)), 14);multiply(n2,const_3)|multiply(n1,const_2)|add(n0,#1)|add(n0,#2)|subtract(#0,#3)|add(n3,#4);general;Q472;Hard;2023-03-14 07:32:00;2023-03-14 08:19:00;47,33
one fourth of a solution that was 10 % sugar by weight was replaced with by a second solution resulting in a solution that was 16 percent sugar by weight . the second solution was what percent sugar by weight ?;"""say the second solution ( which was 1 / 4 th of total ) was x % sugar , then 3 / 4 * 0.1 + 1 / 4 * x = 1 * 0.16 - - > x = 0.34 . alternately you can consider total solution to be 100 liters and in this case you ' ll have : 75 * 0.1 + 25 * x = 100 * 0.16 - - > x = 0.34 . answer : a .""";multiply(divide(subtract(multiply(const_100, divide(16, const_100)), multiply(subtract(const_100, multiply(divide(const_1, const_4), const_100)), divide(10, const_100))), multiply(divide(const_1, const_4), const_100)), const_100);divide(n1,const_100)|divide(n0,const_100)|divide(const_1,const_4)|multiply(#0,const_100)|multiply(#2,const_100)|subtract(const_100,#4)|multiply(#1,#5)|subtract(#3,#6)|divide(#7,#4)|multiply(#8,const_100)|;gain;Q148;Medium;2023-03-14 08:39:00;2023-03-14 09:19:00;40,86
from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a black card and the second card is a king or queen ?;"""p ( black card ) = 1 / 2 p ( king or queen ) = 2 / 13 p ( black card then a king / queen ) = 1 / 2 * 2 / 13 = 1 / 13 the answer is b .""";multiply(divide(add(multiply(const_3, const_4), const_1), const_52), divide(const_2, const_52));divide(const_2,const_52)|multiply(const_3,const_4)|add(#1,const_1)|divide(#2,const_52)|multiply(#3,#0)|;probability;Q195;Easy;2023-03-14 14:48:00;2023-03-14 14:59:00;11,89
a man whose bowling average is 22.2 , takes 4 wickets for 36 runs and thereby decreases his average by 1.2 . the number of wickets , taken by him before his last match is :;"""explanation : let the number of wickets taken before the last match is x . then , ( 22.2 x + 36 ) / ( x + 4 ) = 21 = > 22.2 x + 36 = 21 x + 84 = > 1.2 x = 48 = > x = 48 / 1.2 = 40 answer : d""";divide(subtract(multiply(floor(22.2), 4), 36), subtract(22.2, floor(22.2)));floor(n0)|multiply(n1,#0)|subtract(n0,#0)|subtract(#1,n2)|divide(#3,#2)|;general;Q252;Easy;2023-03-15 08:31:00;2023-03-15 08:46:00;15,09
susan drives from city a to city b . after two hours of driving she noticed that she covered 80 km and calculated that , if she continued driving at the same speed , she would end up been 15 minutes late . so she increased her speed by 10 km / hr and she arrived at city b 36 minutes earlier than she planned . find the distance between cities a and b .;let xx be the distance between a and b . since susan covered 80 km in 2 hours , her speed was v = 802 = 40 v = 802 = 40 km / hr . if she continued at the same speed she would be 1515 minutes late , i . e . the planned time on the road is x 40 − 1560 x 40 − 1560 hr . the rest of the distance is ( x − 80 ) ( x − 80 ) km . v = 40 + 10 = 50 v = 40 + 10 = 50 km / hr . so , she covered the distance between a and b in 2 + x − 80502 + x − 8050 hr , and it was 36 min less than planned . therefore , the planned time was 2 + x − 8050 + 36602 + x − 8050 + 3660 . when we equalize the expressions for the scheduled time , we get the equation : x 40 − 1560 = 2 + x − 8050 + 3660 x 40 − 1560 = 2 + x − 8050 + 3660 x − 1040 = 100 + x − 80 + 3050 x − 1040 = 100 + x − 80 + 3050 x − 104 = x + 505 x − 104 = x + 505 5 x − 50 = 4 x + 2005 x − 50 = 4 x + 200 x = 250 x = 250 so , the distance between cities a and b is 250 km . answer : c;add(divide(subtract(add(subtract(divide(36, const_60), divide(80, add(divide(80, const_2), 10))), const_2), divide(15, const_60)), subtract(divide(const_1, divide(80, const_2)), divide(const_1, add(divide(80, const_2), 10)))), const_100);divide(n3,const_60)|divide(n0,const_2)|divide(n1,const_60)|add(n2,#1)|divide(const_1,#1)|divide(n0,#3)|divide(const_1,#3)|subtract(#0,#5)|subtract(#4,#6)|add(#7,const_2)|subtract(#9,#2)|divide(#10,#8)|add(#11,const_100);physics;Q662;Hard;2023-03-16 06:08:00;2023-03-16 07:03:00;55,29
what is the product of all the possible values of x if x ^ 2 + 5 x + 6 ?;explanation : = > y = x ^ 2 + 5 x + 6 = > y = ( x + 2 ) ( x + 3 ) = > x = - 2 , x = - 3 product x = ( - 2 ) ( - 3 ) = 6 answer option 6 answer : d;divide(6, const_1);divide(n2,const_1);general;Q409;Hard;2023-03-17 06:14:00;2023-03-17 07:09:00;55,88
mr . das decided to walk down the escalator of a mall . he found that if he walks down 26 steps , he requires 30 seconds to reach the bottom . however , if he steps down 34 stair she would only require 18 seconds to get to the bottom . if the time is measured from the moment the top step begins to descend to the time he steps off the last step at the bottom , find out the height of the stair way insteps ?;here when he step down 26 steps he has 30 seconds for remaining steps . if he step down 34 stairs he has only 18 sec . 30 - 18 = 12 12 secs for 8 steps . . 18 secs for 12 steps . 12 + 34 = 46 so ans is 46 . . answer : b;subtract(add(multiply(divide(subtract(34, 26), subtract(30, 18)), 30), 26), multiply(const_4, const_10));multiply(const_10,const_4)|subtract(n2,n0)|subtract(n1,n3)|divide(#1,#2)|multiply(n1,#3)|add(n0,#4)|subtract(#5,#0);physics;Q299;Medium;2023-03-17 13:31:00;2023-03-17 13:55:00;24,38
a man has $ 480 in the denominations of one - dollar , 5 - dollar notes and 10 - dollar . the number of dollars of each denomination is equal . what is the total number of dollar that he has ?;c $ 90 let number of notes of each denomination be x . then x + 5 x + 10 x = 480 16 x = 480 x = 30 . hence , total number of notes = 3 x = 90 .;add(divide(multiply(480, 10), const_60), 10);multiply(n0,n2)|divide(#0,const_60)|add(n2,#1);general;Q128;Hard;2023-03-17 22:52:00;2023-03-17 23:33:00;41,38
a , b and c can do a work in 7 , 14 and 21 days respectively . they completed the work and got rs . 242 . what is the share of c ?;"""the ratio of their working rates = 1 / 7 : 1 / 14 : 1 / 21 = 6 : 3 : 2 . since , they work together , the share of c = 2 / 11 * 242 = rs . 44 \ answer : b""";multiply(242, divide(inverse(14), add(inverse(21), add(inverse(7), inverse(14)))));inverse(n1)|inverse(n0)|inverse(n2)|add(#1,#0)|add(#3,#2)|divide(#0,#4)|multiply(n3,#5)|;physics;Q434;Easy;2023-03-18 03:25:00;2023-03-18 03:36:00;11,19
kavi spends 50 % of his monthly salary on food and saves 80 % of the remaining amount . if his monthly salary is rs . 19000 , how much money does he save every month ?;explanation : kavi ' s monthly income = rs . 19,000 he spends 50 % on food . the total money spent on food = 50 / 100 * 19000 = rs . 9500 now , his monthly remaining income = rs . 19000 – rs . 9500 = rs . 9500 out of rs . 9500 , he saves 40 % . amount saved = 40 / 100 * 9500 = rs . 3800 answer : d;divide(divide(multiply(divide(multiply(19000, 50), const_100), 80), const_100), const_2);multiply(n0,n2)|divide(#0,const_100)|multiply(n1,#1)|divide(#2,const_100)|divide(#3,const_2);gain;Q305;Medium;2023-03-18 19:25:00;2023-03-18 19:42:00;17,66
a boatman selling a boat along river flow . if he sell boat in steal water at 3 m / sec and flow of river is 2 m / sec . how much time he will take to sell 100 m .;net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d;divide(100, add(3, 2));add(n0,n1)|divide(n2,#0);physics;Q019;Medium;2023-03-19 03:24:00;2023-03-19 04:00:00;36,19
evaluate 35 % of 450 + 45 % of 350;"""explanation : = ( 35 / 100 ) * 450 + ( 45 / 100 ) * 350 = 315 option c""";divide(35, divide(450, 35));divide(n1,n0)|divide(n0,#0)|;gain;Q590;Easy;2023-03-19 08:40:00;2023-03-19 08:48:00;8,71
a bullock cart has to cover a distance of 80 km in 10 hrs . if it covers half of the journey in 3 / 5 th time . what should be its speed to cover the remaining distance in the time left .;a 10 kmph time left = 10 - 3 / 5 * 10 = 4 hr 10 km / h speed = 40 km / 4 hr = 10 kmph;divide(divide(80, const_2), subtract(10, multiply(divide(10, 5), 3)));divide(n0,const_2)|divide(n1,n3)|multiply(n2,#1)|subtract(n1,#2)|divide(#0,#3);physics;Q461;Easy;2023-03-19 12:56:00;2023-03-19 13:10:00;14,87
a furniture manufacturer has two machines , but only one can be used at a time . machine w is utilized during the first shift and machine b during the second shift , while both work half of the third shift . if machine w can do the job in 12 days working two shifts and machine b can do the job in 15 days working two shifts , how many days will it take to do the job with the current work schedule ?;' approximately ' could actually make such a question ambiguous . not this one though but a similar question with the answer as 9.2 days . you round off 8.89 days as 9 days and everything is fine in this question . what do you do when you get 9.2 days ? do you need 9 days or 10 days ? can you round off 9.2 as 9 even though that is what you do with numbers ? no , because in 9 days your work is not over . you do need 10 days . to finish a work machine w say you need to work full 9 days and a part of the 10 th day . if i ask you how many days do you need to complete the work , will you say 9 or 10 ? you will say 10 even if you do n ' t use the 10 th day fully = d;inverse(add(inverse(divide(multiply(12, const_2), add(const_1, divide(const_1, const_2)))), inverse(divide(multiply(15, const_2), add(const_1, divide(const_1, const_2))))));divide(const_1,const_2)|multiply(n0,const_2)|multiply(n1,const_2)|add(#0,const_1)|divide(#1,#3)|divide(#2,#3)|inverse(#4)|inverse(#5)|add(#6,#7)|inverse(#8);physics;Q086;Easy;2023-03-19 18:46:00;2023-03-19 18:57:00;11,96
what will be the remainder when 17 ^ 200 is divided by 18 ?;"""when n is even , ( x ^ n - a ^ n ) is completely divisible by ( x - a ) . ( 17 ^ 200 - 1 ^ 200 ) is completely divisible by ( 17 + 1 ) , ( 17 ^ 200 - 1 ) is completely divisible by 18 . on dividing 17 ^ 200 by 18 , we get 1 as remainder . answer is d""";power(17, 17);power(n0,n0)|;general;Q282;Easy;2023-03-20 13:49:00;2023-03-20 14:05:00;16,3
